Date,RiskOn,Momentum,Signal,Position,Strat_Ret,Strat_Eq
2011-02-28,5333.25,0.0834874370962031,1,1.0,-0.03135725411031476,124.17128196935512
2011-03-31,5833.75,0.11138097797083346,1,1.0,0.09384521633150511,135.82416278792957
2011-04-30,5749.5,0.0893330807123911,1,1.0,-0.014441825583886847,133.86261391886885
2011-05-31,5473.10009765625,0.07604748202460998,1,1.0,-0.04807372855791803,127.42733895327976
2011-06-30,5647.39990234375,0.06303998161764701,1,1.0,0.031846631996031105,131.48547052315837
2011-07-31,5482.0,0.02131304498516995,1,1.0,-0.029287797075448263,127.63455074410628
2011-08-31,5001.0,-0.07430029423953022,0,1.0,-0.08774170010944915,116.43567826911263
2011-09-30,4943.25,-0.18021710961348703,0,0.0,-0.001,116.31924259084352
2011-10-31,5326.60009765625,-0.11484455443536112,0,0.0,0.0,116.31924259084352
2011-11-30,4832.0498046875,-0.17579790135764617,0,0.0,0.0,116.31924259084352
2011-12-31,4624.2998046875,-0.2461814647179884,0,0.0,0.0,116.31924259084352
2012-01-31,5199.25,-0.055694783374687806,0,0.0,0.0,116.31924259084352
2012-02-29,5385.2001953125,0.009740813821309757,1,0.0,0.0,116.31924259084352
2012-03-31,5295.5498046875,-0.09225630088922221,0,1.0,-0.01764755020677511,114.26649291720756
2012-04-30,5248.14990234375,-0.08719890384489959,0,0.0,-0.001,114.15222642429035
2012-05-31,4924.25,-0.10028139223897703,0,0.0,0.0,114.15222642429035
2012-06-30,5278.89990234375,-0.06525126719768282,0,0.0,0.0,114.15222642429035
2012-07-31,5229.0,-0.046151039766508584,0,0.0,0.0,114.15222642429035
2012-08-31,5258.5,0.05148970205958814,1,0.0,0.0,114.15222642429035
2012-09-30,5703.2998046875,0.15375508110807656,1,1.0,0.08358682222829705,123.69384828138182
2012-10-31,5619.7001953125,0.05502573729633209,1,1.0,-0.01465811236265191,121.88072995470449
2012-11-30,5879.85009765625,0.21684385205473133,1,1.0,0.04629248773106198,127.52289215078554
2012-12-31,5905.10009765625,0.2769717248156023,1,1.0,0.0042943271649160675,128.07051717069731
2013-01-31,6034.75,0.16069625426744238,1,1.0,0.02195558080297544,130.88237975891744
2013-02-28,5693.0498046875,0.057165861659695505,1,1.0,-0.0566220962446663,123.47154505547704
2013-03-31,5682.5498046875,0.07308023043375722,1,1.0,-0.0018443541441275357,123.24381979967214
2013-04-30,5930.2001953125,0.12996013941296836,1,1.0,0.043580857033705955,128.61489109064948
2013-05-31,5985.9501953125,0.21560647719195813,1,1.0,0.009401031696040674,129.82400375837548
2013-06-30,5842.2001953125,0.10670789433204697,1,1.0,-0.024014566661875736,126.70633656580836
2013-07-31,5742.0,0.09810671256454384,1,1.0,-0.017151106083782564,124.53318274588072
2013-08-31,5471.7998046875,0.04056286102263007,1,1.0,-0.04705680865769768,118.67304859387372
2013-09-30,5735.2998046875,0.005610786929647116,1,1.0,0.048156001572694285,124.38786810859672
2013-10-31,6299.14990234375,0.12090497418314095,1,1.0,0.09831222723447008,136.61671646330038
2013-11-30,6176.10009765625,0.05038393752896653,1,1.0,-0.019534350919592547,133.9479975824238
2013-12-31,6304.0,0.06755175962251259,1,1.0,0.02070884543990581,136.72190596134308
2014-01-31,6089.5,0.009072455362691079,1,1.0,-0.03402601522842641,132.06980430704294
2014-02-28,6276.9501953125,0.10256372430542116,1,1.0,0.030782526531324406,136.13524656211132
2014-03-31,6704.2001953125,0.17978731832358896,1,1.0,0.06806649514585317,145.4014956614108
2014-04-30,6696.39990234375,0.12920300863314682,1,1.0,-0.0011634934431409283,145.23232197458583
2014-05-31,7229.9501953125,0.20781997166868438,1,1.0,0.07967718486794761,156.8040245413562
2014-06-30,7611.35009765625,0.3028225400018354,1,1.0,0.052752770356707,165.0758712389938
2014-07-31,7721.2998046875,0.3447056434495821,1,1.0,0.014445493325173198,167.46047363512383
2014-08-31,7954.35009765625,0.4536990353415409,1,1.0,0.03018277995464813,172.51489626195394
2014-09-30,7964.7998046875,0.3887329478709751,1,1.0,0.001313709718953504,172.74153075783752
2014-10-31,8322.2001953125,0.3211624305394012,1,1.0,0.04487248887469342,180.4928731749661
2014-11-30,8588.25,0.39056198316136914,1,1.0,0.031968685977700195,186.26299315870943
2014-12-31,8282.7001953125,0.3138801071244448,1,1.0,-0.03557765606351704,179.63619245074764
2015-01-31,8808.900390625,0.4465720322891864,1,1.0,0.06353003041330618,191.04848522047416
2015-02-28,8844.599609375,0.4090600266320368,1,1.0,0.004052630540355873,191.8227341463674
2015-03-31,8491.0,0.26651945834445834,1,1.0,-0.039979153946120505,184.15382352756401
2015-04-30,8181.5,0.22177589739472747,1,1.0,-0.03645035920386286,177.44135051121955
2015-05-31,8433.650390625,0.16648803419045866,1,1.0,0.030819579615596115,182.91001834039898
2015-06-30,8368.5,0.09947642568391357,1,1.0,-0.007725052332904658,181.49702887650685
2015-07-31,8532.849609375,0.10510533526943466,1,1.0,0.019639076223337604,185.06146286092186
2015-08-31,7971.2998046875,0.0021308726449247306,1,1.0,-0.06581034828863364,172.88250353524055
2015-09-30,7948.89990234375,-0.0019962714360243217,0,1.0,-0.002810068984054226,172.3966917741705
2015-10-31,8065.7998046875,-0.03080920725380032,0,0.0,-0.001,172.22429508239634
2015-11-30,7935.25,-0.07603411637993773,0,0.0,0.0,172.22429508239634
2015-12-31,7946.35009765625,-0.04060874952912141,0,0.0,0.0,172.22429508239634
2016-01-31,7563.5498046875,-0.1413741251136047,0,0.0,0.0,172.22429508239634
2016-02-29,6987.0498046875,-0.21002079084716907,0,0.0,0.0,172.22429508239634
2016-03-31,7738.39990234375,-0.0886350368220763,0,0.0,0.0,172.22429508239634
2016-04-30,7849.7998046875,-0.0405427116436472,0,0.0,0.0,172.22429508239634
2016-05-31,8160.10009765625,-0.03243557419368881,0,0.0,0.0,172.22429508239634
2016-06-30,8287.75,-0.009649280038238617,0,0.0,0.0,172.22429508239634
2016-07-31,8638.5,0.012381607020112373,1,0.0,0.0,172.22429508239634
2016-08-31,8786.2001953125,0.10222929893388288,1,1.0,0.016097898398159338,174.99674428632736
2016-09-30,8611.150390625,0.0833134768857744,1,1.0,-0.019923266121444683,171.51023757952444
2016-10-31,8638.0,0.07094153204496356,1,1.0,0.0031180049304715407,172.04500734592375
